dd
CommandType     Name                                               Version    Source
Cmdlet          ConvertTo-NtSecurityDescriptor                     2.0.1      NtObjectManager
Cmdlet          Copy-NtObject                                      2.0.1      NtObjectManager
Cmdlet          Format-NtJob                                       2.0.1      NtObjectManager
Cmdlet          Get-AccessibleDevice                               2.0.1      NtObjectManager
Cmdlet          Get-AccessibleDsObject                             2.0.1      NtObjectManager
Cmdlet          Get-AccessibleEventTrace                           2.0.1      NtObjectManager
Cmdlet          Get-AccessibleFile                                 2.0.1      NtObjectManager
Cmdlet          Get-AccessibleFwObject                             2.0.1      NtObjectManager
Cmdlet          Get-AccessibleHandle                               2.0.1      NtObjectManager
Cmdlet          Get-AccessibleKey                                  2.0.1      NtObjectManager
Cmdlet          Get-AccessibleNamedPipe                            2.0.1      NtObjectManager
Cmdlet          Get-AccessibleObject                               2.0.1      NtObjectManager
Cmdlet          Get-AccessibleProcess                              2.0.1      NtObjectManager
Cmdlet          Get-AccessibleScheduledTask                        2.0.1      NtObjectManager
Cmdlet          Get-AccessibleService                              2.0.1      NtObjectManager
Cmdlet          Get-AccessibleToken                                2.0.1      NtObjectManager
Cmdlet          Get-AccessibleWindowStation                        2.0.1      NtObjectManager
Cmdlet          Get-AccessibleWnf                                  2.0.1      NtObjectManager
Cmdlet          Get-AuthZGrantedAccess                             2.0.1      NtObjectManager
Cmdlet          Get-NtAccessMask                                   2.0.1      NtObjectManager
Cmdlet          Get-NtDebug                                        2.0.1      NtObjectManager
Cmdlet          Get-NtDesktop                                      2.0.1      NtObjectManager
Cmdlet          Get-NtDirectory                                    2.0.1      NtObjectManager
Cmdlet          Get-NtDirectoryChild                               2.0.1      NtObjectManager
Cmdlet          Get-NtEnlistment                                   2.0.1      NtObjectManager
Cmdlet          Get-NtEvent                                        2.0.1      NtObjectManager
Cmdlet          Get-NtFile                                         2.0.1      NtObjectManager
Cmdlet          Get-NtFileAttribute                                2.0.1      NtObjectManager
Cmdlet          Get-NtFileChild                                    2.0.1      NtObjectManager
Cmdlet          Get-NtFileCompression                              2.0.1      NtObjectManager
Cmdlet          Get-NtFileFinalPath                                2.0.1      NtObjectManager
Cmdlet          Get-NtFileId                                       2.0.1      NtObjectManager
Cmdlet          Get-NtFileLink                                     2.0.1      NtObjectManager
Cmdlet          Get-NtFileObjectId                                 2.0.1      NtObjectManager
Cmdlet          Get-NtFileReparsePoint                             2.0.1      NtObjectManager
Cmdlet          Get-NtFileShareProcess                             2.0.1      NtObjectManager
